system:index,class,.geo
10,5,"{""type"":""Polygon"",""coordinates"":[[[100.71956160964052,4.892648745113317],[100.71986201705019,4.892584606653227],[100.719647440329,4.894947035876207],[100.71934703291932,4.894947035876206],[100.71956160964052,4.892648745113317]]]}"
11,5,"{""type"":""Polygon"",""coordinates"":[[[100.65903768619062,4.914534476361713],[100.66413388331893,4.908948951099637],[100.66425190051557,4.909066535392103],[100.65909133037091,4.914646420706686],[100.65903768619062,4.914534476361713]]]}"
12,5,"{""type"":""Polygon"",""coordinates"":[[[100.72047528490269,4.896066974578434],[100.72037872537814,4.895960077687662],[100.723414985983,4.893330408796121],[100.72350081667149,4.893469375297007],[100.72047528490269,4.896066974578434]]]}"
13,5,"{""type"":""Polygon"",""coordinates"":[[[100.66807116523152,4.894662449154128],[100.66828574195272,4.894331068041378],[100.67242707267171,4.896255214147474],[100.67227686896688,4.896415559406475],[100.66807116523152,4.894662449154128]]]}"
14,5,"{""type"":""Polygon"",""coordinates"":[[[100.68364284274084,4.871818520078249],[100.68341753718359,4.871732999474418],[100.68645379778845,4.864966147221892],[100.68660400149328,4.865190641042084],[100.68364284274084,4.871818520078249]]]}"
15,5,"{""type"":""Polygon"",""coordinates"":[[[100.55221831558144,5.000971466786377],[100.55808698890603,4.997690244487478],[100.55816209075843,4.997818501042365],[100.55226123092568,5.001163850645495],[100.55221831558144,5.000971466786377]]]}"
16,5,"{""type"":""Polygon"",""coordinates"":[[[100.52938306513249,5.022101240604437],[100.53176486673772,5.017313156676992],[100.53189361277042,5.0173345321297464],[100.52946889582097,5.022165366489927],[100.52938306513249,5.022101240604437]]]}"
17,5,"{""type"":""Polygon"",""coordinates"":[[[100.66657578520945,4.899242851988469],[100.66691910796334,4.899007679923171],[100.66812073760201,4.904566270233235],[100.66790616088083,4.904673165747412],[100.66657578520945,4.899242851988469]]]}"
18,5,"{""type"":""Polygon"",""coordinates"":[[[100.66016449998088,5.151227468851598],[100.6602932460136,5.151179384080402],[100.66293210498404,5.154667701875841],[100.6628355454595,5.154753185441681],[100.66016449998088,5.151227468851598]]]}"
19,5,"{""type"":""Polygon"",""coordinates"":[[[100.6805206098853,5.185480441095604],[100.6806278982459,5.185437701388074],[100.68172223952398,5.188664541167427],[100.68159349349128,5.188685910912298],[100.6805206098853,5.185480441095604]]]}"
20,5,"{""type"":""Polygon"",""coordinates"":[[[100.57557977190433,5.0874451963220295],[100.57540811052738,5.0873703903274885],[100.57966745844304,5.082037769179509],[100.57977474680362,5.082133949110252],[100.57557977190433,5.0874451963220295]]]}"
21,5,"{""type"":""Polygon"",""coordinates"":[[[100.62174913642761,5.045766217072532],[100.62174913642761,5.045509722799238],[100.63453790901063,5.04486848667249],[100.63449499366638,5.045146355738536],[100.62174913642761,5.045766217072532]]]}"
22,5,"{""type"":""Polygon"",""coordinates"":[[[100.64644691703674,5.008963121532038],[100.64736959693786,5.00150295048044],[100.64754125831482,5.001524326450214],[100.64668295143005,5.00904862443196],[100.64644691703674,5.008963121532038]]]}"
23,5,"{""type"":""Polygon"",""coordinates"":[[[100.66717502830384,4.980404528480192],[100.66936371085998,4.973457078086792],[100.66955682990906,4.973692223760865],[100.66736814735292,4.980532788412994],[100.66717502830384,4.980404528480192]]]}"
24,5,"{""type"":""Polygon"",""coordinates"":[[[100.67279693839905,4.954086015152948],[100.67142364738342,4.946667977236683],[100.67159530876039,4.94664659948562],[100.67301151512024,4.954064637641609],[100.67279693839905,4.954086015152948]]]}"
25,5,"{""type"":""Polygon"",""coordinates"":[[[100.74341426914302,4.7732226908664],[100.74343572681514,4.773008858294545],[100.75266252582637,4.773179924357353],[100.75255523746578,4.773479289864659],[100.74341426914302,4.7732226908664]]]}"
26,5,"{""type"":""Polygon"",""coordinates"":[[[100.88323430009636,4.7674584095562045],[100.88319138475211,4.767223191748753],[100.89263276048455,4.767522559853354],[100.89263276048455,4.767736394133916],[100.88323430009636,4.7674584095562045]]]}"
27,5,"{""type"":""Polygon"",""coordinates"":[[[100.92318692014602,4.736491155326284],[100.92636265561966,4.731080882451571],[100.92655577466871,4.731166420691717],[100.92331566617872,4.736662230458264],[100.92318692014602,4.736491155326284]]]}"
28,5,"{""type"":""Polygon"",""coordinates"":[[[100.94123282239822,4.717565707879315],[100.94629683301834,4.712946537220513],[100.9464899520674,4.713053462814468],[100.94127573774244,4.71777955762871],[100.94123282239822,4.717565707879315]]]}"
29,5,"{""type"":""Polygon"",""coordinates"":[[[100.95844187543776,4.701676487443833],[100.96303381727127,4.697313838558088],[100.96322693632034,4.697549080125822],[100.95852770612623,4.701868956618582],[100.95844187543776,4.701676487443833]]]}"
